author,date,description,source,title,url
"Nadine Schmidt,Lianne Kolirin",2023-07-06T14:44:58Z,"Remnants of Munich’s main synagogue, which was demolished by the Nazis in June 1938, have resurfaced – much to the amazement of the city’s Jewish community.",CNN,"Construction workers find remains of Munich's main synagogue, destroyed by Nazis | CNN",https://edition.cnn.com/2023/07/06/europe/munich-synagogue-discovery-scli-intl/index.html
"Mick Krever,Matthew Chance",2023-07-06T13:35:12Z,"If we learned one thing from Thursday’s press conference by Belarusian President Alexander Lukashenko, it’s that Wagner chief Yevgeny Prigozhin, who has not been seen in public since June 24, appears to be in a decidedly perilous limbo.",CNN,Wagner chief Yevgeny Prigozhin has been cast out into the cold | CNN,https://edition.cnn.com/2023/07/06/europe/prigozhin-lukashenko-analysis-intl/index.html
Amy Woodyatt,2023-07-07T16:07:41Z,"Apple Original Films has unveiled details of Oscar winner Brad Pitt’s eagerly awaited Formula 1 feature film, as crews begin filming scenes with the actor at Silverstone, where Sunday’s British Grand Prix is being staged.",CNN,Brad Pitt's F1 movie: Filming to get underway at Silverstone | CNN,https://edition.cnn.com/2023/07/07/motorsport/brad-pitt-f1-film-intl-spt-scli/index.html
"Alex Hardie,Max Foster,Rob Picheta",2023-07-06T10:40:30Z,"A child has been killed after a car crashed into an elementary school in southwest London, injuring six other children and two adults, London’s Metropolitan Police said in a statement.",CNN,"Child dies after car crashes into elementary school in Wimbledon, London | CNN",https://edition.cnn.com/2023/07/06/europe/wimbledon-car-crash-school-intl/index.html
Reuters,2023-07-07T08:00:52Z,"An overnight fire in a retirement home in Milan killed six people and injured around 80, including three who are in a critical condition, Italian authorities said on Friday.",CNN,Milan fire: Six people killed at retirement home | CNN,https://edition.cnn.com/2023/07/07/europe/milan-retirement-home-fire-intl/index.html
Jill Dougherty,2023-07-07T04:00:50Z,"The bizarre tale of Yevgeny Prigozhin, Russian President Vladimir Putin’s former pal-turned-mutineer, just got a whole lot weirder.",CNN,Analysis: Prigozhin's fate remains unclear and it signals more trouble in Russia | CNN,https://edition.cnn.com/2023/07/07/europe/russia-yevgeny-prigozhin-putin-fate-intl/index.html
"By <a href=""/profiles/tara-subramaniam"">Tara Subramaniam</a>, <a href=""/profiles/rob-picheta"">Rob Picheta</a>, Ed Upright, <a href=""/profiles/aditi-sandal"">Aditi Sangal</a>, <a href=""/profiles/adrienne-vogt"">Adrienne Vogt</a>, <a href=""/profiles/matt-meyer"">Matt Meyer</a>, <a href=""/profiles/elise-hammond"">Elise Hammond</a> and <a href=""/profiles/amir-vera"">Amir Vera</a>, CNN",2023-07-07T04:02:21Z,"The US announced Friday it will send cluster munitions to Ukraine for the first time as part of a new military aid package. The White House acknowledged the risk to civilians in using the controversial weaponry, but said there's an even greater threat if Kyiv doesn't have ""sufficient"" ammunition against Russia. ",CNN,"July 7, 2023 - Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-07-23/index.html
"Hira Humayun,Radina Gigova,Mariya Knight,Tara John,Gul Tuysuz",2023-07-07T22:01:33Z,"Ukraine deserves to have NATO membership, Turkish President Recep Tayyip Erdogan said, following talks with Ukrainian President Volodymyr Zelensky that Russia said it was closely watching.",CNN,Turkey's Erdogan says Ukraine deserves NATO membership | CNN,https://edition.cnn.com/2023/07/07/europe/turkey-ukraine-nato-membership-intl/index.html
"By Christian Edwards, Adrienne Vogt, <a href=""/profiles/laura-smith-spark"">Laura Smith-Spark</a> and <a href=""/profiles/matt-meyer"">Matt Meyer</a>, CNN",2023-07-08T07:38:13Z,"It's the 500th day of Russia's war in Ukraine. With a pivotal NATO summit looming, Ukraine has held high-profile meetings and secured controversial cluster munitions from the US.",CNN,"July 8, 2023 Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-08-23/index.html
"Jill Martin,Zoe Sottile,Kevin Dotson",2023-07-07T19:04:00Z,"Nikki McCray-Penson, a former basketball star and two-time Olympic gold medal winner, has died at age 51, according to a Rutgers University spokesperson.",CNN,"Nikki McCray-Penson, basketball star and Olympic gold medalist, dies at age 51 | CNN",https://edition.cnn.com/2023/07/07/sport/nikki-mccray-penson-basketball-star-death/index.html
